Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings
AAS004,Aerocorp Avionic Solutions Inc.,125 - 4950 McCall Way NE,,Calgary,AB,,0,0
TOM100287,Agricultural Technology Centre,ARC Eng'g Serv. Branch,3020 College Dr. South,Lethbridge,AB,3. GOOD PROSPECT,0,0
SAF003,AI Radar,1795 Powell Street,Suite 300,Vancouver,BC,,0,2897
RT57658,Aircom Instrumentation Ltd,9328 - 37 Avenue,,Edmonton,AB,6. NEW PROSPECT,0,4863.38
AKS001,Aker Solutions,6835 Railway Street S.E.,Suite #300,Calgary,AB,3. GOOD PROSPECT,0,0
AGN001,AKVA Group North America Inc  (H/O),"#400 - 1481, 16th Ave.",,Campbell River,BC,2. TARGET (OUTSIDE),0,0
BP172806,Alberta Envirofuels Inc.,PO Bag 2424,Att'n: Accounts Payable,Edmonton,AB,ZZ TOP-100 (INSIDE),0,0
EM4011438,Alberta Industrial Controls & Drives Inc.,9720 - 47 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,7084.93
AMI0023,Alberta Machine Intelligence Institute,"#1101, 10065 Jasper Avenue",,Edmonton,AB,,0,0
AMP003,Alberta Mobile Power Systems,"#103, 3906 - 71 Avenue",,Leduc,AB,,0,0
AOT001,Alberta Oil Tool,9530 60th Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0
EM4006919,Alberta Power (2000) Ltd.,Sheerness GS - Accounts Payable,PO Box 1540,Hanna,AB,ZZ$EXISTING ACCOUNT$,0,529.45
EM4013550,Alberta Power (2000) Ltd.,PO Box 498,Battle River GS - Accounts Payable,Forestburg,AB,6. NEW PROSPECT,0,2255
ALL006,Alcatel Lucent,2116 - 27th Avenue NE,Suite 341,Calgary,AB,5. QUALIFIED LOW,0,0
ALI0014,All-tek Industrial,6013 53 avenue,,Lloydminster,AB,,0,0
AES0013,Alliance Engineering Serivices,1035 Logan Avenue,,Winnipeg,MB,,0,0
DAV121750,Allied Cathodic Services L.P.,#6 Hwy 39 East,PO Box 1338,Estevan,SK,3. GOOD PROSPECT,0,0
ALC0021,Allteck Line Contractors Inc. (H/O),300 4333 Still Creek Drive,,Burnaby,BC,,0,0
ALC0019,"Allteck Line Contractors, Inc.",310 - 4260 Still Creek Drive,,Burnaby,BC,,0,0
ALC0020,"Allteck Line Contractors, Inc.",16 Collins Road,,Dawson Creek,BC,,0,0
API008,Almita Piling Inc,RR#4 Site 1 Box 8,,Ponoka,AB,,0,0
CT4000975,Alpha Technologies Ltd.,7700 Riverfront Gate,,Burnaby,BC,TOP 50 - ZOWSLEY,0,84572
DAV186823,Alpine Aerotech Ltd,1260 Industrial Drive,,Kelowna,BC,3. GOOD PROSPECT,0,0
DAV288098,AltaGas Operating Partnership,Ethane Extraction Plant,10001 - 29th Avenue,Edmonton,AB,3. GOOD PROSPECT,0,0
APS009,AltaStream Energy Inc.,6475 64th Street,,Delta,BC,3. GOOD PROSPECT,0,0
AIS007,Altec Integrated Solutions Ltd.,"Unit 120, 185 Golden Drive",,Coquitlam,BC,6. NEW PROSPECT,0,0
AOU001,Always On UPS Systems Canada Inc.,"#100, 150 Campion Road",,Kelowna,BC,,0,0
AEC0011,Amaritech Electric & Controls Ltd.,102-243 Clearview Drive,,Red Deer,AB,6. NEW PROSPECT,0,0
EM4014107,Ametek Canada LP,2876 Sunridge Way NE,,Calgary,AB,2. TARGET (OUTSIDE),0,0
AOF002,AML Oceanographic (formerly Applied Microsystems),2071 Malaview Avenue,,Sidney,BC,,0,0
TP4518,Analytic Systems Inc.,8128 River Way,,Delta,BC,,0,0
EM4011702,Andritz Automation,#100 - 13700 International Place,,Richmond,BC,,0,0
ANP001,Angstrom Power Incorporated,#109 - 980 West 1st Street,,North Vancouver,BC,3. GOOD PROSPECT,0,0
AEM005,Anodyne Electronics Manufacturing Corp.,#15 - 1925 Kirschner Road,,Kelowna,BC,2. TARGET (OUTSIDE),0,0
ANC0011,Antec Controls,638 Raleigh Street,,Winnipeg,MB,,0,0
AVS001,Apex Valve services,109-96 Ave,,Grande Prairie,AB,,0,0
TP2178810,Applied Electronics Limited,1225 East Keith Road Unit 5B,,North Vancouver,BC,6. NEW PROSPECT,0,0
AEL007,Armax Electric Ltd.,2924-12 Ave. North,,Lethbridge,AB,,0,0
AAC004,ARP Automation Controls Inc.,"#200, 80042 - 475 Avenue",,High River,AB,,0,1353.36
DAV164770,ATCO Electric Ltd.,5001 - 47th Avenue,PO Box 309,Two Hills,AB,3. GOOD PROSPECT,0,0
EM4008548,ATCO Electric Ltd.,104 Birch Road NE,,Slave Lake,AB,5. QUALIFIED LOW,0,0
CT4000895,ATCO Electric Ltd.                 (H/O),10035-105 Street,PO Box 2426,Edmonton,AB,ZZ$EXISTING ACCOUNT$,0,0
ATI007,ATI Telecom International,324B Keewatin Street,,Winnipeg,MB,,0,0
ATI006,ATI Telecom International,4340 - 97 Street,,Edmonton,AB,,0,0
CT4000985,Atlantis Submarines Int'l Inc.,#200-210 West 6th Avenue,,Vancouver,BC,ZZ$EXISTING ACCOUNT$,665.8,1066.6
ATI0022,ATTAbotics Inc.,7944 10th Street NE,,Calgary,AB,2. TARGET (OUTSIDE),0,2517.48
CT4005512,August Electronics Inc.,1810 Centre Ave. NE,,Calgary,AB,2. TARGET (INSIDE),0,0
AVC002,Avigilon Corporation,Telus/Avigilon Mailroom Main Floor,768 Seymour Street,Vancouver,BC,,0,0
AWW001,Awesense Inc.,66 E 4th Ave.,,Vancouver,BC,,0,0
ATI0012,AWT Technologies Inc,280 Midpark Way SE,Suite 205,Calgary,AB,,0,0
ATI0018,AXYS Technologies Inc.,2035 Mills Road,,Sidney,BC,,0,3177.48
BVO001,B&V Oil & Gas,1313 Brier Park way NW.,,Medicine Hat,AB,,0,0
BAC001,Babcock Canada Inc.,300-3680 Uptown Boulevard,,Victoria,BC,,0,0
BAH002,Baker Hughes Canada Company,BHI AP General PO / RC / CA02,5525 West Boulevard / Box 703,Vancouver,BC,,0,0
BHC005,Baker Hughes Canada Company,3905 - 71 Avenue,,Leduc,AB,TOP 50 - ZOWSLEY,0,55108.03
SYK4016552,Baker Hughes Canada Company,"1020, 903 - 8th Avenue SW",Att'n: Accounts Payable,Calgary,AB,,0,0
BJS001,Baker Hughes Canada Company,4089 - 77th Street,Coiled Tubing Division,Red Deer,AB,4. BRANCH ACCOUNT,0,0
BAH003,Baker Hughes Canada Company,5050 - 47th Street SE,,Calgary,AB,,0,0
BPI003,Baker Hughes Canada Company,4839 - 90 Ave S.E.,,Calgary,AB,ZZ TOP-100 (INSIDE),0,0
EM4013660,Ballard Generation Systems,3751 North Fraser Way,,Burnaby,BC,,0,0
DAV166796,Ballard Power Systems,4343 North Fraser Way,,Burnaby,BC,,0,0
CT4003902,Ballard Power Systems Inc.,9000 Glenlyon Parkway,,Burnaby,BC,2. TARGET (OUTSIDE),0,0
DAV216333,Ballard Transportation Division,#3- 3751 North Fraser Way,,Burnaby,BC,,0,0
JAM001,BC Cancer Research Centre,675 West 10th Avenue,,Vancouver,BC,,0,0
BCH0022,BC Hydro,PO Box 100,5301 Blewett Road,South Slocan,BC,,0,0
BCH0028,BC Hydro,6940 - 14th Avenue,,Burnaby,BC,,0,0
BCH0029,BC Hydro,Non Integrated Area,12326 88th Ave.,Surrey,BC,,0,0
BCH0031,BC Hydro,1833 Gilmore Ave.,,Burnaby,BC,,0,0
CT4004059,BC Hydro,6911 Southpoint Drive / Podium A,,Burnaby,BC,,0,0
DAV239505,BC Hydro,12000 Seven Mile Dam Road,,Trail,BC,3. GOOD PROSPECT,0,0
EM4012271,BC Hydro,10600 Wilson St.,,Mission,BC,3. GOOD PROSPECT,0,0
BCH0032,BC Hydro,12326 88th Ave,,Surrey,BC,,0,4485.81
TOM100038,BC Hydro Accounts Payable,6911 Southpoint Drive,,Burnaby,BC,,0,0
EM4011355,BCIT,#16 9400 128th Street,,Surrey,BC,6. NEW PROSPECT,0,0
BCI004,BCIT - Aerospace,3800 Cessna Drive,,Richmond,BC,3. GOOD PROSPECT,0,0
EM4006483,BCIT - Burnaby Campus,3700 Willingdon Avenue,"Facilities Management, NE Bldg 7-Rm 141",Burnaby,BC,2. TARGET (OUTSIDE),0,4817.4
BOS003,Beacon Oilfield Services,1609 brier Park Rd. N.W.,,Medicine Hat,AB,,0,0
BME002,Ber Mac Electrical Instrumentation,9604 - 41 Avenue,,Edmonton,AB,3. GOOD PROSPECT,0,0
BIE005,Bi-Systems Electric & Controls,6015 53 avenue,,Lloydminster,AB,,0,0
BGI001,Big Green Island Transportation,2422 Carolina Street,,Vancouver,BC,,0,0
BIE006,Bill Tek Electronics,405 Cranberry Way,,Sherwood Park,AB,,0,0
BLS004,Blackbriar Systems,2792 West 15th Avenue,,Vancouver,BC,,0,3360
BSC004,Blackline Safety Corp.,803 - 24 Avenue SE,Suite 100,Calgary,AB,2. TARGET (OUTSIDE),0,5075
ARS002,Blue Falls Manufacturing / Arctic Spas,4549 - 52 Street,Box 560,Thorsby,AB,,0,0
BSE002,Blue Spark Energy Inc.,"Unit 134, 4303 - 26th Street NE",,Calgary,AB,,0,0
BNE002,BNG Engineering,7616 - 73rd Ave.,,Edmonton,AB,,0,0
CT4004686,Boeing Canada Technology,99 Murray Park Rd.,Winnipeg Division,Winnipeg,MB,ZZ TOP-100 (INSIDE),0,0
BWS001,Bonnetts Wireline Services Ltd.,"RR2, Site 33, Box 1",,Grand Prairie,AB,6. NEW PROSPECT,0,0
BOR003,Borets Canada Ltd.,2305 - 8th Street,,Nisku,AB,,0,0
CT4000989,Boundary Electric (1985) Ltd.,PO Box 758,,Grand Forks,BC,2. TARGET (INSIDE),0,0
BRI001,Brandt Industries Canada,P.O Box 317,13th Avenue & Pinkie Road,Regina,SK,TOP 50 - ZOWSLEY,1405.67,54372.2
BIC009,Brandt Industries Canada Ltd.,826 58th Street East,,Saskatoon,SK,,0,421.7
EM4015643,British Columbia Rapid Transit Company Limited,6800 - 14th Avenue,Accounts Payable,Burnaby,BC,2. TARGET (OUTSIDE),0,0
BSA001,Broadcast Systems & Equipment Inc.,"#5, 1305 - 33rd Street NE",,Calgary,AB,3. GOOD PROSPECT,0,0
CJE001,C & J Electric,"309 , 151 East Lake Blvd. NE",,Airdrie,AB,3. GOOD PROSPECT,0,0
CPA001,C & V Portable Accomodations Ltd.,6633-86 Ave. SE,,Calgary,AB,,0,0
CFT002,C FER Technologies,3712 Roper Rd NW,,Edmonton,AB,,0,3497.76
CT4005957,C FER Technologies (1999) Inc.,250 Karl Clark Road,,Edmonton,AB,2. TARGET (OUTSIDE),0,5491.2
CPT001,cactus Pressure Testing,9513-111 St.,,Grande Pairie,AB,,0,0
CAF003,CalFrac,,,Grande Prairie,AB,3. GOOD PROSPECT,0,0
CWS004,Calfrac Well Services Ltd,Canadian Division Head Office & Corporate Headquar,411 - 8 Avenue SW,Calgary,AB,,0,0
CAL0013,CalFrac Well Services Ltd.,1685 Semrau Drive NW,Unit #8,Medicine Hat,AB,3. GOOD PROSPECT,0,0
CWS003,Calfrac Well Services Ltd.,Canadian Technology Center,349 - 25th Street SE,Calgary,AB,,0,0
CT4003108,Calian Advanced Technologies,18 Innovation Blvd.,,Saskatoon,SK,3. GOOD PROSPECT,0,0
CES0012,Calmena Energy Services Drilling Division,6109 46 St,,Leduc,AB,,0,0
CAE009,Calrose Electric,"#3, 4045 - 74 Ave SE",,Calgary,AB,,0,0
CTC007,Cam Tran Co. Ltd.,120 Diamond Avenue,,Spruce Grove,AB,,0,0
CT4002970,Camosun College,3100 Foul Bay Road,A/P Dept.,Victoria,BC,2. TARGET (OUTSIDE),0,0
CT4003199,Campbell Scientific (Canada) Corp.,14532 - 131 Avenue NW,,Edmonton,AB,COMPETITION,0,0
WST14398,Canadian Advanced ESP,5307 - 72A Avenue,,Edmonton,AB,6. NEW PROSPECT,0,1022.04
CT4005884,Canadian Light Source Inc.,University of Saskatchewan,44 Innovation Blvd.,Saskatoon,SK,2. TARGET (OUTSIDE),0,0
CNR004,Canadian Natural Resources Ltd.,2840 76th Ave.,Horizon Cross Dock c/o Transforce,Edmonton,AB,2. TARGET (INSIDE),0,0
DAV132479,Canadian Natural Resources Ltd.,Bag 1003,,Bonnyville,AB,3. GOOD PROSPECT,0,0
CAI004,CARMA Corp.,444 - 5th Avenue SW,Suite 400,Calgary,AB,,0,1672.5
CII0015,CARMA Corp.,10259 - 105 Street NW,,Edmonton,AB,,307.12,7377.35
CII009,CARMA Corp.,3060 Westwood St,locker 436,Port Coquitlam,BC,,0,4355.65
DAV261654,Carmanah Technologies Corp.,250 Bay Street,,Victoria,BC,2. TARGET (INSIDE),0,0
CAM008,Caron Measurement & Controls Ltd.,4209 - 40 Avenue,PO Box 1148,Valleyview,AB,6. NEW PROSPECT,0,7010.64
EM4007082,Carte International Inc.,1995 Logan Avenue,,Winnipeg,MB,TOP 50 - ZOWSLEY,0,187791.05
CCC009,CB City Communications,26 Strathmoor Drive,,Sherwood Park,AB,,0,0
DAV263780,CBVL Robotics,2130 Hartley Ave.,,Coquitlam,BC,2. TARGET (OUTSIDE),0,0
BP1138387,CD Controls Ltd.,532 Nesbitt Drive,,Estevan,SK,3. GOOD PROSPECT,0,0
CEE007,CEL Electrical,"#2 , 4617-41st.",,Camrose,AB,,0,0
DAV62396,Celco Controls Ltd.,78 Hutchings St.,,Winnipeg,MB,2. TARGET (INSIDE),0,0
CEN002,Cenovus Energy Inc.,Christina Lake SAGD Facility,"Upstream Operations, Integrated Oil Division",Christina Lake,AB,,0,398823.06
CEI0021,Cenovus Energy Inc.,2278 Canada Trust Tower,,Calgary,AB,3. GOOD PROSPECT,0,0
EM4006910,Cenovus Energy Inc.                (H/O),225 6 Ave SW,PO Box 766 / Att'n: A/P,Calgary,AB,TOP 50 - ZOWSLEY,18743.48,372269.93
KAI007,Central Aircraft Maintenance,2610 Thayer Avenue,Hangar #7,Saskatoon,SK,,0,0
CEC009,Central Controls & Specialties,1252 Border Street,,Winnipeg,MB,,0,0
EM4008549,Century Electric (1985) Ltd.,"#26, 5555 - 51st Avenue SE",,Calgary,AB,2. TARGET (INSIDE),0,0
CAH001,Charlton and Hill Welding,655 30 St. N,,Lethbridge,AB,,0,0
CEC0010,Clean Energy Consulting Inc,102 - 1558 Quinn St.,,Prince George,BC,,0,0
CES0032,ClearStream Energy Services LP,"201, 4723 - 52 Avenue",,Edmonton,AB,,0,0
CME002,CMN Electrical,18115- 105 Avenue,Suite 101,Edmonton,AB,,0,0
COR006,Coanda Research & Development Corporation (H/O),101 - 5140 North Fraser Way,,Burnaby,BC,,0,0
COT008,College of the Rockies,2700 College Way,Box 8500,Cranbrook,BC,5. QUALIFIED LOW,0,0
CT4000994,Comar Electrical Services Ltd.,#114 - 1515 Broadway St.,,Port Coquitlam,BC,2. TARGET (INSIDE),0,2308.9
CSI0016,Combustion Solutions Inc.,206-39012 Discovery Way,,Squamish,BC,6. NEW PROSPECT,0,0
EM4007141,Comco Manufacturing Ltd.,811A - 58th Street East,,Saskatoon,SK,5. QUALIFIED LOW,0,0
COT0011,Command Technology,3016 19Street NE,Suite 200,Calgary,AB,,0,0
COA001,Condor Aircraft Accessories Inc.,620A McTavish Rd. NE,Hangar #5,Calgary,AB,3. GOOD PROSPECT,0,0
COA008,Connacher Oil and Gas Limited,"Suite 900, 332 - 6 Avenue SW",,Calgary,AB,,0,0
DAV275099,Conoco Phillips Canada,401 - 9th Avenue SW,PO Box 130,Calgary,AB,2. TARGET (INSIDE),0,0
CEC002,Continental Electrical Motor Services Ltd.,"#201, 4015 - 8th Street SE",,Calgary,AB,6. NEW PROSPECT,0,0
DAV122195,Continental Electrical Motor Services Ltd.,8909 - 15 Street NW,,Edmonton,AB,4. BRANCH ACCOUNT,0,0
RDK264312,Control Innovations Inc.,11222 - 42 St. SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,28265.33
CON0012,Control Tech 2011 Ltd.,11001 - 78 Avenue,,Grande Prairie,AB,,0,0
COT0010,Control Techniques,#100 - 6225 - 10th St SE,,Calgary,AB,,0,0
COC0021,Conuma Cable,475 Trumpeter Drive,,Gold River,BC,,0,0
COE0013,Cookshaw Electric,9607-112 st.,,Grande Prairie,AB,,0,0
LCC007,Corcym Canada Corp.,5005 North Fraser Way,,Burnaby,BC,,0,0
CT1145,Corrpro Canada Inc.,10848-214 Street,,Edmonton,AB,,0,348.6
CEL006,Corvus Energy Ltd.,"#220, 13155 Delf Place",,Richmond,BC,2. TARGET (OUTSIDE),0,0
CPI0010,CPI  Service Allwest,1954-10th. Ave. N.W.,,Medicine Hat,AB,,0,0
EM4013577,Critical Environment,Technologies Canada Inc.,145-7391 Vantage Way,Delta,BC,3. GOOD PROSPECT,0,0
CGT005,CSA Group Testing & Certification Inc,9669 201 Street,,Langley,BC,,0,0
CT4000992,CSA Group Testing & Certification Inc,13799 Commerce Parkway,,Richmond,BC,,0,0
TOM100116,CSA Group Testing & Certification Inc,1707 - 94th Street,,Edmonton,AB,,0,0
CWC004,Cummins Western Canada,PO Box 7679,3001 Faithful Ave.,Saskatoon,SK,,0,0
CUE003,Cunningham Electric,#7-7880-48 Ave,,Red Deer,AB,,0,0
CEE0011,Custom Energy Equipment Services,2887 Parsons Road,,Edmonton,AB,,0,0
DMI006,Damon Motorcycles Inc.,704 Alexander St.,,Vancouver,BC,2. TARGET (OUTSIDE),0,881
DTI006,DarkVision Technologies Inc.,40 Gostick Pl,,North Vancouver,BC,,0,2639
DER002,Deloro Resources,c/o Windale Oilfield Services Ltd.,PO Box 954,Lloydminster,AB,3. GOOD PROSPECT,0,0
DCI005,Delta Controls Inc.,17850 - 56th Avenue,,Surrey,BC,6. NEW PROSPECT,0,847
DQT001,Delta Q Technologies,3755 Willingdon Ave.,,Burnaby,BC,TOP 50 - ZOWSLEY,18511.7,52154.6
DPA002,Deltec Power and Controls Systems,1430  36 St. N.,,Lethbridge,AB,,0,0
EM4013683,Dept of National Defence,CFB Esquimalt,PO Box 17000 Stn Forces,Victoria,BC,3. GOOD PROSPECT,0,0
DID001,Diamond Doors,400 Airport Dr,,Winkler,MB,3. GOOD PROSPECT,0,0
JSI100472,Dimos Tool & Die / Labtronics,12 Bangor Avenue,,Winnipeg,MB,TOP 50 - ZOWSLEY,0,15382.5
CFL004,DNOW Canada ULC,380 Mackenzie Blvd.,Bldg 1C,Fort McMurray,AB,,0,1848
TPX100345,DNOW Canada ULC,PO Box 4395 Station C,,Calgary,AB,3. GOOD PROSPECT,0,0
DOR004,Donald Robinson,1174 Bayda Crescent,,Regina,SK,,0,36466.04
DAA008,Donison and Associates,1101 78 Ave,,Edmonton,AB,,0,0
DAV180263,Douglas College,,,New Westminster,BC,3. GOOD PROSPECT,0,0
AL166737,Dow Chemical Canada ULC,PO Bag 5501,Prentiss Site,Red Deer,AB,6. NEW PROSPECT,0,0
DAV262375,Dow Chemical Canada ULC,"Hwy 15, Bldg 141A","Main Gate, Main Warehouse",Fort Saskatchewan,AB,3. GOOD PROSPECT,0,1310.68
EM4011651,Dow Chemical Canada ULC,Hwy 597 & Prentiss Road,,LaCombe County,AB,4. BRANCH ACCOUNT,0,0
DSS005,Downhole Sonic Solutions Inc,"170, 5255 McCall Way N.E.",,Calgary,AB,,0,0
DRI006,Drilformance,"Suite 201, Bldg B",6051 47 St.,Leduc,AB,,0,0
DEL005,DX3 Entreprises Ltd,"#109, 117 Pembina Road",,Sherwood Park,AB,,0,0
CT4003177,Dycor Technologies Inc.,4620 74 Avenue NW,,Edmonton,AB,COMPETITION,0,0
DAV202947,Dynamo Electric,1383 Fletcher Road,,Saskatoon,SK,2. TARGET (INSIDE),0,0
DYE002,Dynamo Electric,135 Henderson Dr,,Regina,SK,2. TARGET (INSIDE),0,0
DPF001,Dynamysk Panel Fabrication,"#8030, 11500 35th Street SE",,Calgary,AB,,0,0
DII004,Dynastream Innovations Inc.,#201 100 Grand Blvd,,Cochrane,AB,3. GOOD PROSPECT,0,0
EAC001,Eaton Industries (Canada) Company,1693 Cliveden Ave.,,Delta,BC,2. TARGET (INSIDE),0,4995.84
CT4000933,Eaton Industries (Canada) Company,12465-153 Street NW,,Edmonton,AB,,0,0
EEC008,ECM Electrical Controls (see TP914972),,,Edmonton,AB,,0,0
WST13660,Eguana Technologies Inc.,"Unit 1, 3636 7th Street SE",,Calgary,AB,TOP 50 - ZOWSLEY,0,94990
ELP002,Elecon Systems Ltd.,8011 Davies Rd NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,13949.95
ERE001,Electram Rotary Equipment Ltd.,18112 - 107 Ave,,Edmonton,AB,3. GOOD PROSPECT,0,0
EVC001,ElectraMeccanica Vehicles Corp.,102 East 1st Avenue,,Vancouver,BC,,0,0
TP914972,Electrical Controls Manufacturing Inc.,4016 - 101 Street NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,5716.64
EM4013310,Electrotek Ltd.,1016 - 34th Ave. SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,54689.66
EEL001,Emery Electric Ltd.,Unit #102 - 851 Viewfield Rd.,,Victoria,BC,6. NEW PROSPECT,0,1952.47
ENS001,Enerflex Ltd.,4700 - 47th Street SE,,Calgary,AB,2. TARGET (OUTSIDE),0,0
EAB001,Enerkem AERF,Site 460 - 250 Aurum Road NE,,Edmonton,AB,,0,1463.28
ENA002,Engineered Air,1401 Hastings St. S.E.,,Calgary,AB,3. GOOD PROSPECT,0,0
DAV111541,Enmax Energy Corporation,239- 19 Street N.E.,,Calgary,AB,3. GOOD PROSPECT,0,0
EM4007120,Enmax Power Corporation,2808 Spiller Road,Financial Services Div.,Calgary,AB,6. NEW PROSPECT,0,0
EPS004,Enmax Power Service Corp.,4110 - 9th Street S.E.,,Calgary,AB,6. NEW PROSPECT,0,0
EPS006,ENMAX Power Services Corporation (H/O),141 - 50 Ave. SE,,Calgary,AB,,0,0
EEL007,Envent Engineering Ltd,7060E Farrell Road SE,,Calgary,AB,3. GOOD PROSPECT,0,0
EM4007307,EPCOR (Head Office),"2000, 10423 - 101 Street NW","Accounts Payable, 27th Floor EPCOR Tower",Edmonton,AB,ZZ TOP-100 (INSIDE),0,0
EPI0010,Equinox Power Innovations Inc.,5589 Byrne Road,Unit 234,Burnaby,BC,,2808.8,3515.38
ESC005,Equipment Solutions Canada Inc.,c/o Continental Machining,6235B - 86 Ave SE.,Calgary,AB,5. QUALIFIED LOW,0,0
AL181288,ERL Phase Power Technologies Ltd.,74 Scurfield Blvd.,,Winnipeg,MB,6. NEW PROSPECT,0,0
EPP001,Escape Power Products,132-37565 Highway #2,,Red Deer,AB,,0,0
EES006,Essential Energy Services,1402 Brier Park Cresent NW,,Medicine Hat,AB,,0,0
EEL006,ET Energy Ltd.,4895 - 35B Street SE.,,Calgary,AB,3. GOOD PROSPECT,0,0
EEP003,Evolution Electrical Products Inc,E1 - 2924 Miners Ave,,Saskatoon,SK,TOP 50 - ZOWSLEY,9666.38,120742.77
EBC001,Excell Battery Company,"#133, 18525 - 53rd Ave.",,Surrey,BC,2. TARGET (INSIDE),0,0
EXI005,Exchanger Industries,"140 Quarry Park Blvd SE, Suite 120",,Calgary,AB,,0,0
EPS008,Exell Power Services Ltd.,206-19049-54th Avenue,,Surrey,BC,2. TARGET (OUTSIDE),0,294.95
ETI0014,Exro Technologies Inc. (H/O),#12-21 Highfield Circle SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,72302.96
CT4001146,Finning (Canada),19498 - 92 Avenue,,Surrey,BC,3. GOOD PROSPECT,0,311.74
TPX100316,Finning (Canada)        (H/O),16901-109 Avenue,Att'n: Accounts Payable,Edmonton,AB,2. TARGET (INSIDE),0,0
FCE003,First Choice Electrical Supply,10913 97th Ave,,Grande Prairie,AB,,0,0
FES001,Flint Energy Services Ltd.,"700, 300 - 5 Ave SW",,Calgary,AB,3. GOOD PROSPECT,0,0
FES008,Flint Energy Services Ltd.,Div. of ClearStream Energy Services Inc.,10414 - 84 Avenue,Clairmont,AB,,0,5106.92
FLS003,"Flir Systems, Inc.",4218 Commerce Circle,,Victoria,BC,,0,0
FLU001,Fluxwerx Illumination Inc.,9255 194th Street,,Surrey,BC,2. TARGET (INSIDE),0,0
PES009,FMC Technologies Canada Ltd.,"10th Floor, 333 - 11th Avenue SW",,Calgary,AB,6. NEW PROSPECT,0,0
PUE003,FMC Technologies Canada Ltd.,4115 - 78th Street Crescent,,Red Deer,AB,,0,0
FTC002,FMC Technologies Canada Ltd.,PO Box 539,,Cold Lake,AB,,0,0
FBL001,Forbes Bros. Ltd,"#300, 10403 - 172 Street",,Edmonton,AB,,0,0
PLR115075,Foremost Industries LP,1225-64th Avenue NE,,Calgary,AB,,0,0
BP1304070,FortisAlberta Inc.,"PO Box 2570, Station M",,Calgary,AB,ZZ TOP-100 (INSIDE),0,0
FPI002,FPInnovations,2665 East Mall,,Vancouver,BC,3. GOOD PROSPECT,0,0
DAV115191,Frontier Power Products,9204 - 37 Avenue,,Edmonton,AB,2. TARGET (INSIDE),0,22051.33
FPP001,Frontier Power Products,10547 - 42 Street SE,,Calgary,AB,2. TARGET (INSIDE),0,5131.69
DAV115190,Frontier Power Products ULC  (H/O),7983 Progress Way,,Delta,BC,,0,3897.8
FRI004,FVT Research Inc.,103-19055 Airport Way,,Pitt Meadows,BC,,0,0
GOI001,G2V Optics Inc.,9703 45th Avenue NW,,Edmonton,AB,,0,4091.9
