"Customer No.",Company,Contact,Phone,Address,City,State,Zip,Type,"Sub Type",Country,Territory,"Address 2","Bookings YTD","Previous Years Bookings","Sub Type","Sales Rep 2"
"ASI001    ","Advanced Systems Integrators Ltd.",,"(604)581-8997                 ","9002 - 161 St.",Surrey,"BC                                                ","V4N 4R2        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","BC                  ",,0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"AII0010   ","Advent Instruments Inc.",,"(604)944-4298                 ","111 - 1515 Broadway St.","Port Coquitlam","BC                                                ","V3C 6M2        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"AIS0015   ","AEC Industrial Solutions",,"(403)346-2071                 ","102 - 243 Clearview Drive","Red Deer County","AB                                                ","T4E 0A1        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ",,0,22259.52,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"AAS004    ","Aerocorp Avionic Solutions Inc.",,"(403)717-9730                 ","125 - 4950 McCall Way NE",Calgary,"AB                                                ","T2E 2B9        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"TOM100287 ","Agricultural Technology Centre",,"(403)329-1212                 ","ARC Eng'g Serv. Branch                            ","Lethbridge                    ","AB                                                ","T1K 1L6        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","3020 College Dr. South",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"SAF003    ","AI Radar",,"(604)369-5937                 ","1795 Powell Street",Vancouver,"BC                                                ","V5L 1H6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","Suite 300",0,2897,"                    ","ZOWSLEY             "
"RT57658   ","Aircom Instrumentation Ltd",,"(780)434-6916                 ","9328 - 37 Avenue",Edmonton,"AB                                                ","T6E 5K3        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ",,0,4863.38,"6. NEW PROSPECT     ","ZOWSLEY             "
"AKS001    ","Aker Solutions",,"(403)640-4230                 ","6835 Railway Street S.E.",Calgary,"AB                                                ","T2H 2V6        ","PROSPECT            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","Suite #300",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AGN001    ","AKVA Group North America Inc  (H/O)",,"(250)286-8802                 ","#400 - 1481, 16th Ave.","Campbell River","BC                                                ","V9W 4J3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"BP172806  ","Alberta Envirofuels Inc.                          ",,"(780)449-7800                 ","PO Bag 2424                                       ","Edmonton                      ","AB                                                ","T5J 4R3        ","CUSTOMER            ","ZZ TOP-100 (INSIDE) ","Canada              ","ALBERTA             ","Att'n: Accounts Payable                           ",0,0,"ZZ TOP-100 (INSIDE) ","ZOWSLEY             "
"EM4011438 ","Alberta Industrial Controls & Drives Inc.",,"(780) 436 4848                ","9720 - 47 Avenue",Edmonton,"AB                                                ","T6E 5P3        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,7084.93,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AMI0023   ","Alberta Machine Intelligence Institute",,"                              ","#1101, 10065 Jasper Avenue",Edmonton,"AB                                                ","T5J 3B1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"AMP003    ","Alberta Mobile Power Systems",,"(780)986-6691                 ","#103, 3906 - 71 Avenue",Leduc,"AB                                                ","T9E 0R8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"AOT001    ","Alberta Oil Tool",,"(780)619-9097                 ","9530 60th Avenue",Edmonton,"AB                                                ","T6E 0C1        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4006919 ","Alberta Power (2000) Ltd.                         ",,"(403)854-5141                 ","Sheerness GS - Accounts Payable","Hanna                         ","AB                                                ","T0J 1P0        ","CUSTOMER            ","ZZ$EXISTING ACCOUNT$","Canada              ","ALBERTA             ","PO Box 1540                                       ",0,529.45,"ZZ$EXISTING ACCOUNT$","ZOWSLEY             "
"EM4013550 ","Alberta Power (2000) Ltd.",,"(780)582-8132                 ","PO Box 498                                        ","Forestburg                    ","AB                                                ","T0B 1N0        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ","Battle River GS - Accounts Payable",0,2255,"6. NEW PROSPECT     ","ZOWSLEY             "
"ALL006    ","Alcatel Lucent","Julie Cahoon","(403)585-9419                 ","2116 - 27th Avenue NE",Calgary,"AB                                                ","T2E 7A6        ","PROSPECT            ","5. QUALIFIED LOW    ","Canada              ","ALBERTA             ","Suite 341",0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"ALI0014   ","All-tek Industrial",,"(780)808-5209                 ","6013 53 avenue",Lloydminster,"AB                                                ","T9V 2H1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"AES0013   ","Alliance Engineering Serivices",,"(204)774-7859                 ","1035 Logan Avenue",Winnipeg,"MB                                                ","R3E 1P6        ","PROSPECT            ","                    ","Canada              ","PRAIRIES            ",,0,0,"                    ","ZOWSLEY             "
"DAV121750 ","Allied Cathodic Services L.P.",,"(306)634-4493                 ","#6 Hwy 39 East                                    ","Estevan                       ","SK                                                ","S4A 2K9        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","PRAIRIES            ","PO Box 1338                                       ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"ALC0021   ","Allteck Line Contractors Inc. (H/O)",,"                              ","300 4333 Still Creek Drive",Burnaby,"BC                                                ","V5C 6S6        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ALC0019   ","Allteck Line Contractors, Inc.",,"(604)857-6600                 ","310 - 4260 Still Creek Drive",Burnaby,"BC                                                ","V5C 6C6        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ALC0020   ","Allteck Line Contractors, Inc.","Jon Pinsent","(250)219-4368                 ","16 Collins Road","Dawson Creek","BC                                                ","V1G 5A1        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"API008    ","Almita Piling Inc","Stephen Giles","(403)783-5800                 ","RR#4 Site 1 Box 8",Ponoka,"AB                                                ","T4J 1R4        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"CT4000975 ","Alpha Technologies Ltd.",,"(604)436-5900                 ","7700 Riverfront Gate",Burnaby,"BC                                                ","V5J 5M4        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","BC                  ",,0,84572,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"DAV186823 ","Alpine Aerotech Ltd                               ",,"(250)769-6344                 ","1260 Industrial Drive                             ","Kelowna                       ","BC                                                ","V1Z 1G5        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ","                                                  ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"DAV288098 ","AltaGas Operating Partnership                     ",,"(780)465-8182                 ","Ethane Extraction Plant                           ","Edmonton                      ","AB                                                ","T6N 1A5        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","10001 - 29th Avenue                               ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"APS009    ","AltaStream Energy Inc.",,"(604)940-9143                 ","6475 64th Street",Delta,"BC                                                ","V4K 4E2        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AIS007    ","Altec Integrated Solutions Ltd.",,"(604)529-1991                 ","Unit 120, 185 Golden Drive",Coquitlam,"BC                                                ","V3K 6T1        ","PROSPECT            ","6. NEW PROSPECT     ","Canada              ","BC                  ",,0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"AOU001    ","Always On UPS Systems Canada Inc.","Ward Davis","(250)491-9777                 ","#100, 150 Campion Road",Kelowna,"BC                                                ","V1X 7S8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"AEC0011   ","Amaritech Electric & Controls Ltd.",,"(403)346-2071                 ","102-243 Clearview Drive","Red Deer","AB                                                ","T4E 0A1        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ",,0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"EM4014107 ","Ametek Canada LP",,"(403)235-8400                 ","2876 Sunridge Way NE",Calgary,"AB                                                ","T1Y 7H9        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"AOF002    ","AML Oceanographic (formerly Applied Microsystems)",,"(250)656-0771                 ","2071 Malaview Avenue",Sidney,"BC                                                ","V8L 5X6        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"TP4518    ","Analytic Systems Inc.",,"(604)946-9981                 ","8128 River Way",Delta,"BC                                                ","V4G 1K5        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"EM4011702 ","Andritz Automation",,"(604)214-9248                 ","#100 - 13700 International Place",Richmond,"BC                                                ","V6V 2X8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ANP001    ","Angstrom Power Incorporated",,"(604)980-9936                 ","#109 - 980 West 1st Street","North Vancouver","BC                                                ","V7P 3N4        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"AEM005    ","Anodyne Electronics Manufacturing Corp.",,"(250)763-1088                 ","#15 - 1925 Kirschner Road",Kelowna,"BC                                                ","V1Y 4N7        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"ANC0011   ","Antec Controls",,"(204)669-4220                 ","638 Raleigh Street",Winnipeg,"MB                                                ","R2K 3Z9        ","PROSPECT            ","                    ","Canada              ","PRAIRIES            ",,0,0,"                    ","ZOWSLEY             "
"AVS001    ","Apex Valve services",Kevin,"(780)513-1909                 ","109-96 Ave","Grande Prairie","AB                                                ","               ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"TP2178810 ","Applied Electronics Limited                       ",,"(604)988-7228                 ","1225 East Keith Road Unit 5B                      ","North Vancouver               ","BC                                                ","V7J 1J3        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ","                                                  ",0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"AEL007    ","Armax Electric Ltd.","Vaughn Smith","(403)320-7533                 ","2924-12 Ave. North",Lethbridge,"AB                                                ","               ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"AAC004    ","ARP Automation Controls Inc.",,"(403)652-7130                 ","#200, 80042 - 475 Avenue","High River","AB                                                ","T1V 1M3        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,1353.36,"                    ","ZOWSLEY             "
"DAV164770 ","ATCO Electric Ltd.                                ",,"(780)657-2586                 ","5001 - 47th Avenue","Two Hills                     ","AB                                                ","T0B 4K0        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","PO Box 309",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4008548 ","ATCO Electric Ltd.                                ",,"(780)849-7618                 ","104 Birch Road NE","Slave Lake                    ","AB                                                ","T0G 2A0        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","ALBERTA             ",,0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"CT4000895 ","ATCO Electric Ltd.                 (H/O)          ",,"(780)420-7310                 ","10035-105 Street                                  ","Edmonton                      ","AB                                                ","T5J 2V6        ","CUSTOMER            ","ZZ$EXISTING ACCOUNT$","Canada              ","ALBERTA             ","PO Box 2426                                       ",0,0,"ZZ$EXISTING ACCOUNT$","ZOWSLEY             "
"ATI007    ","ATI Telecom International",,"(204)953-1450                 ","324B Keewatin Street",Winnipeg,"MB                                                ","R2X 2R9        ","PROSPECT            ","                    ","Canada              ","PRAIRIES            ",,0,0,"                    ","ZOWSLEY             "
"ATI006    ","ATI Telecom International","Rick Costa","(780)424-9100                 ","4340 - 97 Street",Edmonton,"AB                                                ","T6E 5R9        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"CT4000985 ","Atlantis Submarines Int'l Inc.                    ",,"(604)875-1367                 ","#200-210 West 6th Avenue","Vancouver                     ","BC                                                ","V5Y 1K8        ","CUSTOMER            ","ZZ$EXISTING ACCOUNT$","Canada              ","BC                  ","                                                  ",665.8,1066.6,"ZZ$EXISTING ACCOUNT$","ZOWSLEY             "
"ATI0022   ","ATTAbotics Inc.",,"(403)454-0995                 ","7944 10th Street NE",Calgary,"AB                                                ","T2E 8W1        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,2517.48,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CT4005512 ","August Electronics Inc.                           ",,"(403)273-3131                 ","1810 Centre Ave. NE","Calgary                       ","AB                                                ","T2E 0A6        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","ALBERTA             ","                                                  ",0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"AVC002    ","Avigilon Corporation",,"(888)281-5182                 ","Telus/Avigilon Mailroom Main Floor",Vancouver,"BC                                                ","V6B 3K9        ","CUSTOMER            ","                    ","Canada              ","BC                  ","768 Seymour Street",0,0,"                    ","ZOWSLEY             "
"AWW001    ","Awesense Inc.","Mischa Steiner-Jovic","(888)868-4607                 ","66 E 4th Ave.",Vancouver,"BC                                                ","V5T 2Z6        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"ATI0012   ","AWT Technologies Inc",,"(403)453-2298                 ","280 Midpark Way SE",Calgary,"AB                                                ","T2X 1J6        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ","Suite 205",0,0,"                    ","ZOWSLEY             "
"ATI0018   ","AXYS Technologies Inc.",,"(250)655-5850                 ","2035 Mills Road",Sidney,"BC                                                ","V8L 5X2        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,3177.48,"                    ","ZOWSLEY             "
"BVO001    ","B&V Oil & Gas","Stephen Sykes","(403)502-3364                 "," 1313 Brier Park way NW.","Medicine Hat","AB                                                ","               ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BAC001    ","Babcock Canada Inc.",,"(250)479-3393                 ","300-3680 Uptown Boulevard",Victoria,"BC                                                ","V8Z 0B9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BAH002    ","Baker Hughes Canada Company",,"                              ","BHI AP General PO / RC / CA02",Vancouver,"BC                                                ","V6M 3W6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","5525 West Boulevard / Box 703",0,0,"                    ","ZOWSLEY             "
"BHC005    ","Baker Hughes Canada Company",,"(780)612-3203                 ","3905 - 71 Avenue",Leduc,"AB                                                ","T9E 0R8        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ",,0,55108.03,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
SYK4016552,"Baker Hughes Canada Company",,"(403)531-5151                 ","1020, 903 - 8th Avenue SW","Calgary                       ","AB                                                ","T2P 0P7        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ","Att'n: Accounts Payable                           ",0,0,"                    ","ZOWSLEY             "
"BJS001    ","Baker Hughes Canada Company","Kevin Wallace","(403)357-1627                 ","4089 - 77th Street","Red Deer","AB                                                ","T4P 2T3        ","CUSTOMER            ","4. BRANCH ACCOUNT   ","Canada              ","ALBERTA             ","Coiled Tubing Division",0,0,"4. BRANCH ACCOUNT   ","ZOWSLEY             "
"BAH003    ","Baker Hughes Canada Company",,"(403)537-3740                 ","5050 - 47th Street SE",Calgary,"AB                                                ","T2B 3S1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BPI003    ","Baker Hughes Canada Company",,"(403)531-5151                 ","4839 - 90 Ave S.E.",Calgary,"AB                                                ","T2H 2S8        ","PROSPECT            ","ZZ TOP-100 (INSIDE) ","Canada              ","ALBERTA             ",,0,0,"ZZ TOP-100 (INSIDE) ","ZOWSLEY             "
"EM4013660 ","Ballard Generation Systems",,"(604)421-7475                 ","3751 North Fraser Way",Burnaby,"BC                                                ","V5A 2X2        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"DAV166796 ","Ballard Power Systems",,"(604)454-0900                 ","4343 North Fraser Way",Burnaby,"BC                                                ","V5J 5J9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT4003902 ","Ballard Power Systems Inc.",,"(604)454-0900                 ","9000 Glenlyon Parkway",Burnaby,"BC                                                ","V5J 5J8        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"DAV216333 ","Ballard Transportation Division",,"(604)419-6442                 ","#3- 3751 North Fraser Way",Burnaby,"BC                                                ","V5J 5G4        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"JAM001    ","BC Cancer Research Centre",,"(604)675-8000                 ","675 West 10th Avenue",Vancouver,"BC                                                ","V5Z 1L3        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BCH0022   ","BC Hydro",,"(250)359-6790                 ","PO Box 100","South Slocan","BC                                                ","V0G 2G0        ","CUSTOMER            ","                    ","Canada              ","BC                  ","5301 Blewett Road",0,0,"                    ","ZOWSLEY             "
"BCH0028   ","BC Hydro",,"(604)528-8194                 ","6940 - 14th Avenue",Burnaby,"BC                                                ","V3N 1Y9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BCH0029   ","BC Hydro",,"(604)590-7624                 ","Non Integrated Area",Surrey,"BC                                                ","V3W 3J6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","12326 88th Ave.",0,0,"                    ","ZOWSLEY             "
"BCH0031   ","BC Hydro",,"                              ","1833 Gilmore Ave.",Burnaby,"BC                                                ","V5C 3Y3        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT4004059 ","BC Hydro",,"(604)528-1600                 ","6911 Southpoint Drive / Podium A",Burnaby,"BC                                                ","V3N 4X8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"DAV239505 ","BC Hydro                                          ",,"(250)367-7521                 ","12000 Seven Mile Dam Road","Trail                         ","BC                                                ","V1R 4L7        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4012271 ","BC Hydro                                          ",,"(604)469-6192                 ","10600 Wilson St.","Mission                       ","BC                                                ","V4S 1B4        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"BCH0032   ","BC Hydro",,"                              ","12326 88th Ave",Surrey,"BC                                                ","V3W 3J6        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,4485.81,"                    ","ZOWSLEY             "
"TOM100038 ","BC Hydro Accounts Payable",,"(604)528-1600                 ","6911 Southpoint Drive",Burnaby,"BC                                                ","V3N 4X8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"EM4011355 ","BCIT                                              ",,"(604)432-8777                 ","#16 9400 128th Street                             ","Surrey                        ","BC                                                ","V3V 5N4        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ","                                                  ",0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"BCI004    ","BCIT - Aerospace",,"(604)419-3777                 ","3800 Cessna Drive",Richmond,"BC                                                ","V7B 0A1        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4006483 ","BCIT - Burnaby Campus",,"(604)434-5734                 ","3700 Willingdon Avenue",Burnaby,"BC                                                ","V5G 3H2        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ","Facilities Management, NE Bldg 7-Rm 141",0,4817.4,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"BOS003    ","Beacon Oilfield Services",,"(888)527-5748                 ","1609 brier Park Rd. N.W.","Medicine Hat","AB                                                ","               ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BME002    ","Ber Mac Electrical Instrumentation","Don Wilhelm","(780)466-1676                 ","9604 - 41 Avenue",Edmonton,"AB                                                ","T6E 6G9        ","PROSPECT            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"BIE005    ","Bi-Systems Electric & Controls",,"(780)875-4047                 ","6015 53 avenue",Lloydminster,"AB                                                ","T9V 2T1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BGI001    ","Big Green Island Transportation","J.-M. Toriel","(604)771-4954                 ","2422 Carolina Street",Vancouver,"BC                                                ","V5T 3S6        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BIE006    ","Bill Tek Electronics",,"(780)918-3631                 ","405 Cranberry Way","Sherwood Park","AB                                                ","T8H 2L8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BLS004    ","Blackbriar Systems",,"(604)218-0492                 ","2792 West 15th Avenue",Vancouver,"BC                                                ","V6K 2Z8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,3360,"                    ","ZOWSLEY             "
"BSC004    ","Blackline Safety Corp.",,"(403)451-0327                 ","803 - 24 Avenue SE",Calgary,"AB                                                ","T2G 1P5        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ","Suite 100",0,5075,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
