Customer No.,Company,Address,Address 2,City,State,Sub Type,Bookings YTD,Previous Years Bookings,5Y Average
AVC002,Avigilon Corporation,Telus/Avigilon Mailroom Main Floor,768 Seymour Street,Vancouver,BC,,0,0,92.346,1
AWW001,Awesense Inc.,66 E 4th Ave.,,Vancouver,BC,,0,0,0,1
ATI0018,AXYS Technologies Inc.,2035 Mills Road,,Sidney,BC,,0,3177.48,2495.026,1
BAC001,Babcock Canada Inc.,300-3680 Uptown Boulevard,,Victoria,BC,,0,0,805.5,1
BAH002,Baker Hughes Canada Company,BHI AP General PO / RC / CA02,5525 West Boulevard / Box 703,Vancouver,BC,,0,0,46558.828,3
BHC005,Baker Hughes Canada Company,3905 - 71 Avenue,,Leduc,AB,TOP 50 - ZOWSLEY,0,55108.03,46558.828,3
SYK4016552,Baker Hughes Canada Company,"1020, 903 - 8th Avenue SW",Att'n: Accounts Payable,Calgary,AB,,0,0,46558.828,3
BJS001,Baker Hughes Canada Company,4089 - 77th Street,Coiled Tubing Division,Red Deer,AB,4. BRANCH ACCOUNT,0,0,46558.828,3
BAH003,Baker Hughes Canada Company,5050 - 47th Street SE,,Calgary,AB,,0,0,46558.828,3
BPI003,Baker Hughes Canada Company,4839 - 90 Ave S.E.,,Calgary,AB,ZZ TOP-100 (INSIDE),0,0,46558.828,3
DAV166796,Ballard Power Systems,4343 North Fraser Way,,Burnaby,BC,,0,0,15401.67,1
CT4003902,Ballard Power Systems Inc.,9000 Glenlyon Parkway,,Burnaby,BC,2. TARGET (OUTSIDE),0,0,15401.67,1
JAM001,BC Cancer Research Centre,675 West 10th Avenue,,Vancouver,BC,,0,0,0,1
BCH0022,BC Hydro,PO Box 100,5301 Blewett Road,South Slocan,BC,,0,0,897.162,9
BCH0028,BC Hydro,6940 - 14th Avenue,,Burnaby,BC,,0,0,897.162,9
BCH0029,BC Hydro,Non Integrated Area,12326 88th Ave.,Surrey,BC,,0,0,897.162,9
BCH0031,BC Hydro,1833 Gilmore Ave.,,Burnaby,BC,,0,0,897.162,9
CT4004059,BC Hydro,6911 Southpoint Drive / Podium A,,Burnaby,BC,,0,0,897.162,9
DAV239505,BC Hydro,12000 Seven Mile Dam Road,,Trail,BC,3. GOOD PROSPECT,0,0,897.162,9
EM4012271,BC Hydro,10600 Wilson St.,,Mission,BC,3. GOOD PROSPECT,0,0,897.162,9
BCH0032,BC Hydro,12326 88th Ave,,Surrey,BC,,0,4485.81,897.162,9
TOM100038,BC Hydro Accounts Payable,6911 Southpoint Drive,,Burnaby,BC,,0,0,0,1
EM4011355,BCIT,#16 9400 128th Street,,Surrey,BC,6. NEW PROSPECT,0,0,7140.6,2
BCI004,BCIT - Aerospace,3800 Cessna Drive,,Richmond,BC,3. GOOD PROSPECT,0,0,7140.6,1
EM4006483,BCIT - Burnaby Campus,3700 Willingdon Avenue,"Facilities Management, NE Bldg 7-Rm 141",Burnaby,BC,2. TARGET (OUTSIDE),0,4817.4,27405.04,1
BIE006,Bill Tek Electronics,405 Cranberry Way,,Sherwood Park,AB,,0,0,0,1
BLS004,Blackbriar Systems,2792 West 15th Avenue,,Vancouver,BC,,0,3360,672,1
BSC004,Blackline Safety Corp.,803 - 24 Avenue SE,Suite 100,Calgary,AB,2. TARGET (OUTSIDE),0,5075,2078.964,1
BSE002,Blue Spark Energy Inc.,"Unit 134, 4303 - 26th Street NE",,Calgary,AB,,0,0,633.44,1
CT4004686,Boeing Canada Technology,99 Murray Park Rd.,Winnipeg Division,Winnipeg,MB,ZZ TOP-100 (INSIDE),0,0,0,1
BOR003,Borets Canada Ltd.,2305 - 8th Street,,Nisku,AB,,0,0,95.58,1
CT4000989,Boundary Electric (1985) Ltd.,PO Box 758,,Grand Forks,BC,2. TARGET (INSIDE),0,0,1092.368,1
BRI001,Brandt Industries Canada,P.O Box 317,13th Avenue & Pinkie Road,Regina,SK,TOP 50 - ZOWSLEY,1405.67,54372.2,456.628,2
BIC009,Brandt Industries Canada Ltd.,826 58th Street East,,Saskatoon,SK,,0,421.7,456.628,2
EM4015643,British Columbia Rapid Transit Company Limited,6800 - 14th Avenue,Accounts Payable,Burnaby,BC,2. TARGET (OUTSIDE),0,0,2837.2,1
CPA001,C & V Portable Accomodations Ltd.,6633-86 Ave. SE,,Calgary,AB,,0,0,0,1
CFT002,C FER Technologies,3712 Roper Rd NW,,Edmonton,AB,,0,3497.76,9963.596,2
CT4005957,C FER Technologies (1999) Inc.,250 Karl Clark Road,,Edmonton,AB,2. TARGET (OUTSIDE),0,5491.2,9963.596,1
CAF003,CalFrac,,,Grande Prairie,AB,3. GOOD PROSPECT,0,0,0,1
CWS004,Calfrac Well Services Ltd,Canadian Division Head Office & Corporate Headquar,411 - 8 Avenue SW,Calgary,AB,,0,0,0,1
CAL0013,CalFrac Well Services Ltd.,1685 Semrau Drive NW,Unit #8,Medicine Hat,AB,3. GOOD PROSPECT,0,0,0,1
CWS003,Calfrac Well Services Ltd.,Canadian Technology Center,349 - 25th Street SE,Calgary,AB,,0,0,0,1
CT4003108,Calian Advanced Technologies,18 Innovation Blvd.,,Saskatoon,SK,3. GOOD PROSPECT,0,0,1203.64,1
CTC007,Cam Tran Co. Ltd.,120 Diamond Avenue,,Spruce Grove,AB,,0,0,0,1
CT4002970,Camosun College,3100 Foul Bay Road,A/P Dept.,Victoria,BC,2. TARGET (OUTSIDE),0,0,5974.88,1
CT4003199,Campbell Scientific (Canada) Corp.,14532 - 131 Avenue NW,,Edmonton,AB,COMPETITION,0,0,0,1
WST14398,Canadian Advanced ESP,5307 - 72A Avenue,,Edmonton,AB,6. NEW PROSPECT,0,1022.04,401.048,1
CT4005884,Canadian Light Source Inc.,University of Saskatchewan,44 Innovation Blvd.,Saskatoon,SK,2. TARGET (OUTSIDE),0,0,0,1
CNR004,Canadian Natural Resources Ltd.,2840 76th Ave.,Horizon Cross Dock c/o Transforce,Edmonton,AB,2. TARGET (INSIDE),0,0,0,2
DAV132479,Canadian Natural Resources Ltd.,Bag 1003,,Bonnyville,AB,3. GOOD PROSPECT,0,0,0,2
CAI004,CARMA Corp.,444 - 5th Avenue SW,Suite 400,Calgary,AB,,0,1672.5,6001.432,3
CII0015,CARMA Corp.,10259 - 105 Street NW,,Edmonton,AB,,307.12,7377.35,6001.432,3
CII009,CARMA Corp.,3060 Westwood St,locker 436,Port Coquitlam,BC,,0,4355.65,6001.432,3
DAV261654,Carmanah Technologies Corp.,250 Bay Street,,Victoria,BC,2. TARGET (INSIDE),0,0,0,1
CAM008,Caron Measurement & Controls Ltd.,4209 - 40 Avenue,PO Box 1148,Valleyview,AB,6. NEW PROSPECT,0,7010.64,3044.96,1
EM4007082,Carte International Inc.,1995 Logan Avenue,,Winnipeg,MB,TOP 50 - ZOWSLEY,0,187791.05,67490.438,1
BP1138387,CD Controls Ltd.,532 Nesbitt Drive,,Estevan,SK,3. GOOD PROSPECT,0,0,90.052,1
DAV62396,Celco Controls Ltd.,78 Hutchings St.,,Winnipeg,MB,2. TARGET (INSIDE),0,0,129.746,1
CEN002,Cenovus Energy Inc.,Christina Lake SAGD Facility,"Upstream Operations, Integrated Oil Division",Christina Lake,AB,,0,398823.06,229085.374,2
CEI0021,Cenovus Energy Inc.,2278 Canada Trust Tower,,Calgary,AB,3. GOOD PROSPECT,0,0,229085.374,2
EM4006910,Cenovus Energy Inc.                (H/O),225 6 Ave SW,PO Box 766 / Att'n: A/P,Calgary,AB,TOP 50 - ZOWSLEY,18743.48,372269.93,229085.374,1
KAI007,Central Aircraft Maintenance,2610 Thayer Avenue,Hangar #7,Saskatoon,SK,,0,0,1070.02,1
EM4008549,Century Electric (1985) Ltd.,"#26, 5555 - 51st Avenue SE",,Calgary,AB,2. TARGET (INSIDE),0,0,0,1
CAH001,Charlton and Hill Welding,655 30 St. N,,Lethbridge,AB,,0,0,0,1
CES0032,ClearStream Energy Services LP,"201, 4723 - 52 Avenue",,Edmonton,AB,,0,0,882.09,1
COR006,Coanda Research & Development Corporation (H/O),101 - 5140 North Fraser Way,,Burnaby,BC,,0,0,0,1
COT008,College of the Rockies,2700 College Way,Box 8500,Cranbrook,BC,5. QUALIFIED LOW,0,0,957.76,1
CT4000994,Comar Electrical Services Ltd.,#114 - 1515 Broadway St.,,Port Coquitlam,BC,2. TARGET (INSIDE),0,2308.9,2761.896,1
CSI0016,Combustion Solutions Inc.,206-39012 Discovery Way,,Squamish,BC,6. NEW PROSPECT,0,0,927.754,1
EM4007141,Comco Manufacturing Ltd.,811A - 58th Street East,,Saskatoon,SK,5. QUALIFIED LOW,0,0,0,1
DAV275099,Conoco Phillips Canada,401 - 9th Avenue SW,PO Box 130,Calgary,AB,2. TARGET (INSIDE),0,0,374.76,1
CEC002,Continental Electrical Motor Services Ltd.,"#201, 4015 - 8th Street SE",,Calgary,AB,6. NEW PROSPECT,0,0,0,1
DAV122195,Continental Electrical Motor Services Ltd.,8909 - 15 Street NW,,Edmonton,AB,4. BRANCH ACCOUNT,0,0,0,1
RDK264312,Control Innovations Inc.,11222 - 42 St. SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,28265.33,9516.848,1
CON0012,Control Tech 2011 Ltd.,11001 - 78 Avenue,,Grande Prairie,AB,,0,0,89.512,1
COC0021,Conuma Cable,475 Trumpeter Drive,,Gold River,BC,,0,0,0,1
LCC007,Corcym Canada Corp.,5005 North Fraser Way,,Burnaby,BC,,0,0,2047.68,1
CT1145,Corrpro Canada Inc.,10848-214 Street,,Edmonton,AB,,0,348.6,18156.298,1
CEL006,Corvus Energy Ltd.,"#220, 13155 Delf Place",,Richmond,BC,2. TARGET (OUTSIDE),0,0,1395.8,1
EM4013577,Critical Environment,Technologies Canada Inc.,145-7391 Vantage Way,Delta,BC,3. GOOD PROSPECT,0,0,0,1
CGT005,CSA Group Testing & Certification Inc,9669 201 Street,,Langley,BC,,0,0,400,3
CT4000992,CSA Group Testing & Certification Inc,13799 Commerce Parkway,,Richmond,BC,,0,0,400,3
TOM100116,CSA Group Testing & Certification Inc,1707 - 94th Street,,Edmonton,AB,,0,0,400,3
CWC004,Cummins Western Canada,PO Box 7679,3001 Faithful Ave.,Saskatoon,SK,,0,0,0,1
CEE0011,Custom Energy Equipment Services,2887 Parsons Road,,Edmonton,AB,,0,0,80.76,1
DMI006,Damon Motorcycles Inc.,704 Alexander St.,,Vancouver,BC,2. TARGET (OUTSIDE),0,881,11630.92,1
DTI006,DarkVision Technologies Inc.,40 Gostick Pl,,North Vancouver,BC,,0,2639,650.6,1
DER002,Deloro Resources,c/o Windale Oilfield Services Ltd.,PO Box 954,Lloydminster,AB,3. GOOD PROSPECT,0,0,0,1
DCI005,Delta Controls Inc.,17850 - 56th Avenue,,Surrey,BC,6. NEW PROSPECT,0,847,736.2,1
DQT001,Delta Q Technologies,3755 Willingdon Ave.,,Burnaby,BC,TOP 50 - ZOWSLEY,18511.7,52154.6,21113.47,1
EM4013683,Dept of National Defence,CFB Esquimalt,PO Box 17000 Stn Forces,Victoria,BC,3. GOOD PROSPECT,0,0,67.456,1
JSI100472,Dimos Tool & Die / Labtronics,12 Bangor Avenue,,Winnipeg,MB,TOP 50 - ZOWSLEY,0,15382.5,15639.8,1
CFL004,DNOW Canada ULC,380 Mackenzie Blvd.,Bldg 1C,Fort McMurray,AB,,0,1848,369.6,2
TPX100345,DNOW Canada ULC,PO Box 4395 Station C,,Calgary,AB,3. GOOD PROSPECT,0,0,369.6,2
DOR004,Donald Robinson,1174 Bayda Crescent,,Regina,SK,,0,36466.04,7293.208,1
AL166737,Dow Chemical Canada ULC,PO Bag 5501,Prentiss Site,Red Deer,AB,6. NEW PROSPECT,0,0,505.136,2
DAV262375,Dow Chemical Canada ULC,"Hwy 15, Bldg 141A","Main Gate, Main Warehouse",Fort Saskatchewan,AB,3. GOOD PROSPECT,0,1310.68,505.136,2
EM4011651,Dow Chemical Canada ULC,Hwy 597 & Prentiss Road,,LaCombe County,AB,4. BRANCH ACCOUNT,0,0,505.136,2
DRI006,Drilformance,"Suite 201, Bldg B",6051 47 St.,Leduc,AB,,0,0,0,1
CT4003177,Dycor Technologies Inc.,4620 74 Avenue NW,,Edmonton,AB,COMPETITION,0,0,386.8,1
DAV202947,Dynamo Electric,1383 Fletcher Road,,Saskatoon,SK,2. TARGET (INSIDE),0,0,848.524,2
DYE002,Dynamo Electric,135 Henderson Dr,,Regina,SK,2. TARGET (INSIDE),0,0,848.524,2
DII004,Dynastream Innovations Inc.,#201 100 Grand Blvd,,Cochrane,AB,3. GOOD PROSPECT,0,0,0,1
EAC001,Eaton Industries (Canada) Company,1693 Cliveden Ave.,,Delta,BC,2. TARGET (INSIDE),0,4995.84,3151.226,2
CT4000933,Eaton Industries (Canada) Company,12465-153 Street NW,,Edmonton,AB,,0,0,3151.226,2
WST13660,Eguana Technologies Inc.,"Unit 1, 3636 7th Street SE",,Calgary,AB,TOP 50 - ZOWSLEY,0,94990,33024.15,1
ELP002,Elecon Systems Ltd.,8011 Davies Rd NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,13949.95,7423.752,1
EVC001,ElectraMeccanica Vehicles Corp.,102 East 1st Avenue,,Vancouver,BC,,0,0,468.63,1
TP914972,Electrical Controls Manufacturing Inc.,4016 - 101 Street NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,5716.64,3317.23,1
EM4013310,Electrotek Ltd.,1016 - 34th Ave. SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,54689.66,39912.722,1
EEL001,Emery Electric Ltd.,Unit #102 - 851 Viewfield Rd.,,Victoria,BC,6. NEW PROSPECT,0,1952.47,1822.05,1
ENS001,Enerflex Ltd.,4700 - 47th Street SE,,Calgary,AB,2. TARGET (OUTSIDE),0,0,351.896,1
EAB001,Enerkem AERF,Site 460 - 250 Aurum Road NE,,Edmonton,AB,,0,1463.28,447.096,1
ENA002,Engineered Air,1401 Hastings St. S.E.,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
EPS006,ENMAX Power Services Corporation (H/O),141 - 50 Ave. SE,,Calgary,AB,,0,0,0,1
EM4007307,EPCOR (Head Office),"2000, 10423 - 101 Street NW","Accounts Payable, 27th Floor EPCOR Tower",Edmonton,AB,ZZ TOP-100 (INSIDE),0,0,0,1
EPI0010,Equinox Power Innovations Inc.,5589 Byrne Road,Unit 234,Burnaby,BC,,2808.8,3515.38,1264.836,1
AL181288,ERL Phase Power Technologies Ltd.,74 Scurfield Blvd.,,Winnipeg,MB,6. NEW PROSPECT,0,0,0,1
EES006,Essential Energy Services,1402 Brier Park Cresent NW,,Medicine Hat,AB,,0,0,0,1
EEL006,ET Energy Ltd.,4895 - 35B Street SE.,,Calgary,AB,3. GOOD PROSPECT,0,0,0,1
EEP003,Evolution Electrical Products Inc,E1 - 2924 Miners Ave,,Saskatoon,SK,TOP 50 - ZOWSLEY,9666.38,120742.77,30443.454,1
EBC001,Excell Battery Company,"#133, 18525 - 53rd Ave.",,Surrey,BC,2. TARGET (INSIDE),0,0,0,1
EPS008,Exell Power Services Ltd.,206-19049-54th Avenue,,Surrey,BC,2. TARGET (OUTSIDE),0,294.95,8131.892,1
ETI0014,Exro Technologies Inc. (H/O),#12-21 Highfield Circle SE,,Calgary,AB,TOP 50 - ZOWSLEY,0,72302.96,263272.062,1
CT4001146,Finning (Canada),19498 - 92 Avenue,,Surrey,BC,3. GOOD PROSPECT,0,311.74,782.632,2
TPX100316,Finning (Canada)        (H/O),16901-109 Avenue,Att'n: Accounts Payable,Edmonton,AB,2. TARGET (INSIDE),0,0,0,1
FES001,Flint Energy Services Ltd.,"700, 300 - 5 Ave SW",,Calgary,AB,3. GOOD PROSPECT,0,0,1553.316,2
FES008,Flint Energy Services Ltd.,Div. of ClearStream Energy Services Inc.,10414 - 84 Avenue,Clairmont,AB,,0,5106.92,1553.316,2
FLS003,"Flir Systems, Inc.",4218 Commerce Circle,,Victoria,BC,,0,0,257.8,1
FLU001,Fluxwerx Illumination Inc.,9255 194th Street,,Surrey,BC,2. TARGET (INSIDE),0,0,0,1
PES009,FMC Technologies Canada Ltd.,"10th Floor, 333 - 11th Avenue SW",,Calgary,AB,6. NEW PROSPECT,0,0,0,1
PUE003,FMC Technologies Canada Ltd.,4115 - 78th Street Crescent,,Red Deer,AB,,0,0,0,1
FTC002,FMC Technologies Canada Ltd.,PO Box 539,,Cold Lake,AB,,0,0,0,1
PLR115075,Foremost Industries LP,1225-64th Avenue NE,,Calgary,AB,,0,0,1998.4,1
FPI002,FPInnovations,2665 East Mall,,Vancouver,BC,3. GOOD PROSPECT,0,0,937.94,1
DAV115191,Frontier Power Products,9204 - 37 Avenue,,Edmonton,AB,2. TARGET (INSIDE),0,22051.33,6693.096,3
FPP001,Frontier Power Products,10547 - 42 Street SE,,Calgary,AB,2. TARGET (INSIDE),0,5131.69,6693.096,3
DAV115190,Frontier Power Products ULC  (H/O),7983 Progress Way,,Delta,BC,,0,3897.8,2848.1,1
FRI004,FVT Research Inc.,103-19055 Airport Way,,Pitt Meadows,BC,,0,0,0,1
GOI001,G2V Optics Inc.,9703 45th Avenue NW,,Edmonton,AB,,0,4091.9,964.98,1
GII0021,GaNPower International Inc.,230-3410 Lougheed Hwy,,Vancouver,BC,TOP 50 - ZOWSLEY,0,10484.65,2096.93,1
EM4006265,GE Power,21300 Gordon Way,,Richmond,BC,5. QUALIFIED LOW,0,0,0,1
GCI009,General Electric Canada,2240 Premier Way,,Sherwood Park,AB,,0,0,0,1
GER004,General Energy Recovery Inc.,850-635 8th Ave SW,,Calgary,AB,,0,0,942.84,1
GER005,General Energy Recovery Inc.,"Site #6, Reinhart Industrial Park",PO Box 914,Lloydminster,AB,,0,0,942.84,1
GFI003,General Fusion Inc,"Suite 320, 3600 Lysander Lane",,Richmond,BC,,0,0,3271.4,1
GFI001,General Fusion Inc,103 - 3680 Bonneville Place,,Burnaby,BC,,0,16357,3271.4,1
GWP002,General Window Products of Canada Limited,753 Marion Street,,Winnipeg,MB,,0,0,0,1
GAT002,Genesis Robotics & Motion Technologies Canada ULC,6279 - 202 Street,Unit #1,Langley,BC,2. TARGET (OUTSIDE),0,101.08,18028.116,1
4745187,GEO Pressure Systems Inc.,1515 - 28th Street NE,,Calgary,AB,,0,519,435.124,1
EM4014561,Global Power Technologies Inc.,"16, 7875 - 57 Street S.E.",,Calgary,AB,2. TARGET (OUTSIDE),0,10243.5,4902.28,1
DAV87260,GMR Electric Motors Ltd.,817 - 46th Street East,,Saskatoon,SK,,0,0,476.2,1
GN002,GN Corporations Inc.,2873 Kingsview Blvd. S.E.,,Airdrie,AB,3. GOOD PROSPECT,0,0,0,1
GTI007,Gradient Thermal Inc.,"Unit #2, 314 Exploration Ave. SE",,Calgary,AB,,0,0,0,1
SCL0023,Grande Prairie Fluid System Technologies Inc.,"#100, 11025 - 89th Avenue",,Grande Prairie,AB,,0,0,900.72,1
GNW001,Great North Wellhead & Frac,8743 50 Avenue NW,,Edmonton,AB,2. TARGET (OUTSIDE),0,0,9149.02,1
GIC0017,Greenlight Innovation Corp.,101 - 8339 Eastlake Drive,,Burnaby,BC,2. TARGET (OUTSIDE),0,0,3366.6,1
GIC0011,Gulf Islands Cable,12681 26 Ave,,Surrey,BC,,0,0,0,1
HAE004,Hagen Electric Ltd.,1105 - 36 Street North,,Lethbridge,AB,,0,486.77,357.918,1
HSD001,Halliburton Group Canada - Nisku North,1406 - 5th Street,(Entrance off 4th St.),Nisku,AB,TOP 50 - ZOWSLEY,2837.7,296946.28,73337.096,1
EM4014166,Haul All Equipment Ltd.,4115-18th Ave. North,,Lethbridge,AB,ZZ D FAIR PROSPECT,0,1300.16,1177.958,1
CT4000903,Hayley Industrial Electronics Ltd.,7071 - 112 Ave SE,,Calgary,AB,TOP 50 - ZOWSLEY,9144.4,106817.17,83498.696,1
HCP003,HC Power,14207-86 St. NW,,Edmonton,AB,,0,0,18184.54,2
HEI005,HiFi Engineering Inc.,"#2, 816 - 46 Avenue SE",,Calgary,AB,6. NEW PROSPECT,0,1044.9,711.18,1
HET003,Hillcrest Energy Technologies,Suite 1910 - 1030 West Georgia Street,,Vancouver,BC,TOP 50 - ZOWSLEY,0,52822,26218.4,1
AL285241,Husky Oil Operations Limited   (H/O),707-8th Avenue SW,"Box 4490, Station D",Calgary,AB,,0,0,17998.92,1
TP2389,Icefield Tools Corporation,#300 - 116 Galena Road,,Whitehorse,YT,6. NEW PROSPECT,0,0,3469.492,1
ICA001,Icon Automation Inc.,51 The Bridle Path,,Winnipeg,MB,2. TARGET (INSIDE),0,660.99,1023.9,1
IPA001,Iconic Electric And Controls Inc,11079 - 50th St SE,,Calgary,AB,,0,0,0,1
IIE001,IEM Canada,3261 192st,,Surrey,BC,2. TARGET (OUTSIDE),0,11251.87,4013.41,1
IMI003,IMG Industries Inc.,1380 Commercial Way,Unit #101,Penticton,BC,TOP 50 - ZOWSLEY,0,45003.74,56836.98,1
CT1148,Indus Automation Inc.,1-442 Higgins Ave.,,Winnipeg,MB,,0,7583.72,3401.826,1
CT4003173,InnoTech Alberta,250 Karl Clark Road,,Edmonton,AB,2. TARGET (INSIDE),0,0,0,1
ICT001,Innovative Circuit Technology Ltd.,26921 Gloucester Way,,Aldergrove,BC,2. TARGET (OUTSIDE),0,0,3167.6,1
EM4012048,Integrated Power Services Inc.,633 Tyne Avenue,,Winnipeg,MB,2. TARGET (INSIDE),0,1429.48,1245.496,1
BP14016295,International Electric Rigs Ltd.,6412 - 18th Street,,Edmonton,AB,2. TARGET (INSIDE),0,0,0,1
