"Customer No.",Company,Contact,Phone,Address,City,State,Zip,Type,"Sub Type",Country,Territory,"Address 2","Bookings YTD","Previous Years Bookings","Sub Type","Sales Rep 2"
"EM4006919 ","Alberta Power (2000) Ltd.                         ",,"(403)854-5141                 ","Sheerness GS - Accounts Payable","Hanna                         ","AB                                                ","T0J 1P0        ","CUSTOMER            ","ZZ$EXISTING ACCOUNT$","Canada              ","ALBERTA             ","PO Box 1540                                       ",0,529.45,"ZZ$EXISTING ACCOUNT$","ZOWSLEY             "
"EM4013550 ","Alberta Power (2000) Ltd.",,"(780)582-8132                 ","PO Box 498                                        ","Forestburg                    ","AB                                                ","T0B 1N0        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ","Battle River GS - Accounts Payable",0,2255,"6. NEW PROSPECT     ","ZOWSLEY             "
"DAV121750 ","Allied Cathodic Services L.P.",,"(306)634-4493                 ","#6 Hwy 39 East                                    ","Estevan                       ","SK                                                ","S4A 2K9        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","PRAIRIES            ","PO Box 1338                                       ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"CT4000975 ","Alpha Technologies Ltd.",,"(604)436-5900                 ","7700 Riverfront Gate",Burnaby,"BC                                                ","V5J 5M4        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","BC                  ",,0,84572,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"DAV288098 ","AltaGas Operating Partnership                     ",,"(780)465-8182                 ","Ethane Extraction Plant                           ","Edmonton                      ","AB                                                ","T6N 1A5        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","10001 - 29th Avenue                               ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4014107 ","Ametek Canada LP",,"(403)235-8400                 ","2876 Sunridge Way NE",Calgary,"AB                                                ","T1Y 7H9        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"AEM005    ","Anodyne Electronics Manufacturing Corp.",,"(250)763-1088                 ","#15 - 1925 Kirschner Road",Kelowna,"BC                                                ","V1Y 4N7        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"AAC004    ","ARP Automation Controls Inc.",,"(403)652-7130                 ","#200, 80042 - 475 Avenue","High River","AB                                                ","T1V 1M3        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,1353.36,"                    ","ZOWSLEY             "
"CT4000985 ","Atlantis Submarines Int'l Inc.                    ",,"(604)875-1367                 ","#200-210 West 6th Avenue","Vancouver                     ","BC                                                ","V5Y 1K8        ","CUSTOMER            ","ZZ$EXISTING ACCOUNT$","Canada              ","BC                  ","                                                  ",665.8,1066.6,"ZZ$EXISTING ACCOUNT$","ZOWSLEY             "
"ATI0022   ","ATTAbotics Inc.",,"(403)454-0995                 ","7944 10th Street NE",Calgary,"AB                                                ","T2E 8W1        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,2517.48,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CT4005512 ","August Electronics Inc.                           ",,"(403)273-3131                 ","1810 Centre Ave. NE","Calgary                       ","AB                                                ","T2E 0A6        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","ALBERTA             ","                                                  ",0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"AVC002    ","Avigilon Corporation",,"(888)281-5182                 ","Telus/Avigilon Mailroom Main Floor",Vancouver,"BC                                                ","V6B 3K9        ","CUSTOMER            ","                    ","Canada              ","BC                  ","768 Seymour Street",0,0,"                    ","ZOWSLEY             "
"ATI0018   ","AXYS Technologies Inc.",,"(250)655-5850                 ","2035 Mills Road",Sidney,"BC                                                ","V8L 5X2        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,3177.48,"                    ","ZOWSLEY             "
"BAC001    ","Babcock Canada Inc.",,"(250)479-3393                 ","300-3680 Uptown Boulevard",Victoria,"BC                                                ","V8Z 0B9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BAH002    ","Baker Hughes Canada Company",,"                              ","BHI AP General PO / RC / CA02",Vancouver,"BC                                                ","V6M 3W6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","5525 West Boulevard / Box 703",0,0,"                    ","ZOWSLEY             "
"BHC005    ","Baker Hughes Canada Company",,"(780)612-3203                 ","3905 - 71 Avenue",Leduc,"AB                                                ","T9E 0R8        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ",,7337.96,55108.03,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
SYK4016552,"Baker Hughes Canada Company",,"(403)531-5151                 ","1020, 903 - 8th Avenue SW","Calgary                       ","AB                                                ","T2P 0P7        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ","Att'n: Accounts Payable                           ",0,0,"                    ","ZOWSLEY             "
"BJS001    ","Baker Hughes Canada Company","Kevin Wallace","(403)357-1627                 ","4089 - 77th Street","Red Deer","AB                                                ","T4P 2T3        ","CUSTOMER            ","4. BRANCH ACCOUNT   ","Canada              ","ALBERTA             ","Coiled Tubing Division",0,0,"4. BRANCH ACCOUNT   ","ZOWSLEY             "
"BAH003    ","Baker Hughes Canada Company",,"(403)537-3740                 ","5050 - 47th Street SE",Calgary,"AB                                                ","T2B 3S1        ","PROSPECT            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"BPI003    ","Baker Hughes Canada Company",,"(403)531-5151                 ","4839 - 90 Ave S.E.",Calgary,"AB                                                ","T2H 2S8        ","PROSPECT            ","ZZ TOP-100 (INSIDE) ","Canada              ","ALBERTA             ",,0,0,"ZZ TOP-100 (INSIDE) ","ZOWSLEY             "
"DAV166796 ","Ballard Power Systems",,"(604)454-0900                 ","4343 North Fraser Way",Burnaby,"BC                                                ","V5J 5J9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT4003902 ","Ballard Power Systems Inc.",,"(604)454-0900                 ","9000 Glenlyon Parkway",Burnaby,"BC                                                ","V5J 5J8        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"BCH0022   ","BC Hydro",,"(250)359-6790                 ","PO Box 100","South Slocan","BC                                                ","V0G 2G0        ","CUSTOMER            ","                    ","Canada              ","BC                  ","5301 Blewett Road",0,0,"                    ","ZOWSLEY             "
"BCH0028   ","BC Hydro",,"(604)528-8194                 ","6940 - 14th Avenue",Burnaby,"BC                                                ","V3N 1Y9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"BCH0029   ","BC Hydro",,"(604)590-7624                 ","Non Integrated Area",Surrey,"BC                                                ","V3W 3J6        ","CUSTOMER            ","                    ","Canada              ","BC                  ","12326 88th Ave.",0,0,"                    ","ZOWSLEY             "
"BCH0031   ","BC Hydro",,"                              ","1833 Gilmore Ave.",Burnaby,"BC                                                ","V5C 3Y3        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT4004059 ","BC Hydro",,"(604)528-1600                 ","6911 Southpoint Drive / Podium A",Burnaby,"BC                                                ","V3N 4X8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"DAV239505 ","BC Hydro                                          ",,"(250)367-7521                 ","12000 Seven Mile Dam Road","Trail                         ","BC                                                ","V1R 4L7        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4012271 ","BC Hydro                                          ",,"(604)469-6192                 ","10600 Wilson St.","Mission                       ","BC                                                ","V4S 1B4        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"BCH0032   ","BC Hydro",,"                              ","12326 88th Ave",Surrey,"BC                                                ","V3W 3J6        ","PROSPECT            ","                    ","Canada              ","BC                  ",,0,4485.81,"                    ","ZOWSLEY             "
"TOM100038 ","BC Hydro Accounts Payable",,"(604)528-1600                 ","6911 Southpoint Drive",Burnaby,"BC                                                ","V3N 4X8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"EM4011355 ","BCIT                                              ",,"(604)432-8777                 ","#16 9400 128th Street                             ","Surrey                        ","BC                                                ","V3V 5N4        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ","                                                  ",0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"BCI004    ","BCIT - Aerospace",,"(604)419-3777                 ","3800 Cessna Drive",Richmond,"BC                                                ","V7B 0A1        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4006483 ","BCIT - Burnaby Campus",,"(604)434-5734                 ","3700 Willingdon Avenue",Burnaby,"BC                                                ","V5G 3H2        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ","Facilities Management, NE Bldg 7-Rm 141",0,4817.4,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"BLS004    ","Blackbriar Systems",,"(604)218-0492                 ","2792 West 15th Avenue",Vancouver,"BC                                                ","V6K 2Z8        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,3360,"                    ","ZOWSLEY             "
"BSC004    ","Blackline Safety Corp.",,"(403)451-0327                 ","803 - 24 Avenue SE",Calgary,"AB                                                ","T2G 1P5        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ","Suite 100",0,5075,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"BSE002    ","Blue Spark Energy Inc.",,"(403)452-8343                 ","Unit 134, 4303 - 26th Street NE",Calgary,"AB                                                ","T1Y 7K2        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"CT4004686 ","Boeing Canada Technology",,"(204)888-2300                 ","99 Murray Park Rd.",Winnipeg,"MB                                                ","R3J 3M6        ","CUSTOMER            ","ZZ TOP-100 (INSIDE) ","Canada              ","PRAIRIES            ","Winnipeg Division",0,0,"ZZ TOP-100 (INSIDE) ","ZOWSLEY             "
"BOR003    ","Borets Canada Ltd.",,"(780)955-4795                 ","2305 - 8th Street",Nisku,"AB                                                ","T9E 7Z3        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"CT4000989 ","Boundary Electric (1985) Ltd.",,"(250)442-5561                 ","PO Box 758","Grand Forks                   ","BC                                                ","V0H 1H0        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","BC                  ",,0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"BRI001    ","Brandt Industries Canada",A/P,"(306)791-7557                 ","P.O Box 317",Regina,"SK                                                ","S4P 3A1        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","PRAIRIES            ","13th Avenue & Pinkie Road",1405.67,54372.2,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"BIC009    ","Brandt Industries Canada Ltd.",,"                              ","826 58th Street East",Saskatoon,"SK                                                ","S7K 5Z4        ","CUSTOMER            ","                    ","Canada              ","PRAIRIES            ",,0,421.7,"                    ","ZOWSLEY             "
"EM4015643 ","British Columbia Rapid Transit Company Limited",,"(604)520-3641                 ","6800 - 14th Avenue",Burnaby,"BC                                                ","V3N 4S7        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ","Accounts Payable",0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CFT002    ","C FER Technologies",,"(587)754-2337                 ","3712 Roper Rd NW",Edmonton,"AB                                                ","T6B 3T9        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,3497.76,"                    ","ZOWSLEY             "
"CT4005957 ","C FER Technologies (1999) Inc.",,"(780)450-3300                 ","250 Karl Clark Road",Edmonton,"AB                                                ","T6N 1E4        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","ALBERTA             ",,0,5491.2,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CT4003108 ","Calian Advanced Technologies",,"(306)931-3425                 ","18 Innovation Blvd.",Saskatoon,"SK                                                ","S7N 3R1        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","PRAIRIES            ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"CT4002970 ","Camosun College",,"(250)370-4505                 ","3100 Foul Bay Road",Victoria,"BC                                                ","V8P 5J2        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ","A/P Dept.",0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"WST14398  ","Canadian Advanced ESP",,"(780)469-0770                 ","5307 - 72A Avenue",Edmonton,"AB                                                ","T6B 2J1        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ",,0,1022.04,"6. NEW PROSPECT     ","ZOWSLEY             "
"CT4005884 ","Canadian Light Source Inc.",,"(306)657-3500                 ","University of Saskatchewan",Saskatoon,"SK                                                ","S7N 2V3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","PRAIRIES            ","44 Innovation Blvd.",0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CAI004    ","CARMA Corp.",,"(403)475-1737                 ","444 - 5th Avenue SW",Calgary,"AB                                                ","T2P 2T8        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ","Suite 400",0,1672.5,"                    ","ZOWSLEY             "
"CII0015   ","CARMA Corp.",,"                              ","10259 - 105 Street NW",Edmonton,"AB                                                ","T5J 1E3        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,1759.41,7377.35,"                    ","ZOWSLEY             "
"CII009    ","CARMA Corp.","Aleksandr Sokolov","(604)676-1032                 ","3060 Westwood St","Port Coquitlam","BC                                                ","V3C 3L7        ","CUSTOMER            ","                    ","Canada              ","BC                  ","locker 436",0,4355.65,"                    ","ZOWSLEY             "
"CAM008    ","Caron Measurement & Controls Ltd.",,"(780)524-5954                 ","4209 - 40 Avenue",Valleyview,"AB                                                ","T0H 3N0        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","ALBERTA             ","PO Box 1148",0,7010.64,"6. NEW PROSPECT     ","ZOWSLEY             "
"EM4007082 ","Carte International Inc.",,"(204)633-7220                 ","1995 Logan Avenue",Winnipeg,"MB                                                ","R2R 0H8        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","PRAIRIES            ",,0,187791.05,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"BP1138387 ","CD Controls Ltd.",,"(306)634-2619                 ","532 Nesbitt Drive","Estevan                       ","SK                                                ","S4A 1K9        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","PRAIRIES            ","                                                  ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"DAV62396  ","Celco Controls Ltd.","Adrian Velasco","(204)788-1677                 ","78 Hutchings St.","Winnipeg                      ","MB                                                ","R2X 3B1        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","PRAIRIES            ","                                                  ",0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"CEN002    ","Cenovus Energy Inc.",,"(780)559-6258                 ","Christina Lake SAGD Facility","Christina Lake","AB                                                ","T0X 1X0        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ","Upstream Operations, Integrated Oil Division",0,398823.06,"                    ","ZOWSLEY             "
"CEI0021   ","Cenovus Energy Inc.",,"(403)766-3707                 ","2278 Canada Trust Tower",Calgary,"AB                                                ","               ","PROSPECT            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ",,0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"EM4006910 ","Cenovus Energy Inc.                (H/O)",,"(403)766-2000                 ","225 6 Ave SW",Calgary,"AB                                                ","T2P 0M5        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ","PO Box 766 / Att'n: A/P",18743.48,372269.93,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"KAI007    ","Central Aircraft Maintenance",,"(306)955-7367                 ","2610 Thayer Avenue",Saskatoon,"SK                                                ","S7L 6S1        ","CUSTOMER            ","                    ","Canada              ","PRAIRIES            ","Hangar #7",0,0,"                    ","ZOWSLEY             "
"EM4008549 ","Century Electric (1985) Ltd.",,"(403)279-0919                 ","#26, 5555 - 51st Avenue SE","Calgary                       ","AB                                                ","T2C 3X4        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","ALBERTA             ",,0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"CES0032   ","ClearStream Energy Services LP",,"(587)818-5118                 ","201, 4723 - 52 Avenue",Edmonton,"AB                                                ","T6B 3R6        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"COT008    ","College of the Rockies",,"(250)489-2751                 ","2700 College Way",Cranbrook,"BC                                                ","V1C 5L7        ","CUSTOMER            ","5. QUALIFIED LOW    ","Canada              ","BC                  ","Box 8500",0,0,"5. QUALIFIED LOW    ","ZOWSLEY             "
"CT4000994 ","Comar Electrical Services Ltd.",,"(604)941-7646                 ","#114 - 1515 Broadway St.","Port Coquitlam","BC                                                ","V3C 6M2        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","BC                  ",,0,2308.9,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"CSI0016   ","Combustion Solutions Inc.",,"(604)567-2212                 ","206-39012 Discovery Way",Squamish,"BC                                                ","V8B 0E5        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ",,0,0,"6. NEW PROSPECT     ","ZOWSLEY             "
"DAV275099 ","Conoco Phillips Canada",,"(403)233-4000                 ","401 - 9th Avenue SW","Calgary                       ","AB                                                ","T2P 2H7        ","CUSTOMER            ","2. TARGET (INSIDE)  ","Canada              ","ALBERTA             ","PO Box 130                                        ",0,0,"2. TARGET (INSIDE)  ","ZOWSLEY             "
"RDK264312 ","Control Innovations Inc.",,"(403)720-0277                 ","11222 - 42 St. SE",Calgary,"AB                                                ","T2C 0J9        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","ALBERTA             ",,0,28265.33,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"CON0012   ","Control Tech 2011 Ltd.",,"(780)539-7114                 ","11001 - 78 Avenue","Grande Prairie","AB                                                ","T8W 2J7        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"LCC007    ","Corcym Canada Corp.",,"(604)412-5650                 ","5005 North Fraser Way",Burnaby,"BC                                                ","V5J 5M1        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT1145    ","Corrpro Canada Inc.",,"(780)447-4566                 ","10848-214 Street",Edmonton,"AB                                                ","T5S 2A7        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,348.6,"                    ","ZOWSLEY             "
"CEL006    ","Corvus Energy Ltd.",,"(604)227-0280                 ","#220, 13155 Delf Place",Richmond,"BC                                                ","V6V 2A2        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,0,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"CGT005    ","CSA Group Testing & Certification Inc",,"(604)244-6551                 ","9669 201 Street",Langley,"BC                                                ","V1M 3E7        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"CT4000992 ","CSA Group Testing & Certification Inc",,"(604)273-4581                 ","13799 Commerce Parkway",Richmond,"BC                                                ","V6V 2N9        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,0,"                    ","ZOWSLEY             "
"TOM100116 ","CSA Group Testing & Certification Inc",,"(780)450-2111                 ","1707 - 94th Street",Edmonton,"AB                                                ","T6N 1E6        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"CEE0011   ","Custom Energy Equipment Services",,"(780)439-1088                 ","2887 Parsons Road",Edmonton,"AB                                                ","T6N 1A3        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ",,0,0,"                    ","ZOWSLEY             "
"DMI006    ","Damon Motorcycles Inc.",,"                              ","704 Alexander St.",Vancouver,"BC                                                ","V6A 1E3        ","CUSTOMER            ","2. TARGET (OUTSIDE) ","Canada              ","BC                  ",,0,881,"2. TARGET (OUTSIDE) ","ZOWSLEY             "
"DTI006    ","DarkVision Technologies Inc.",,"(604)398-4004                 ","40 Gostick Pl","North Vancouver","BC                                                ","V7M 3G3        ","CUSTOMER            ","                    ","Canada              ","BC                  ",,0,2639,"                    ","ZOWSLEY             "
"DCI005    ","Delta Controls Inc.",,"(604)574-9444                 ","17850 - 56th Avenue",Surrey,"BC                                                ","V3S 1C7        ","CUSTOMER            ","6. NEW PROSPECT     ","Canada              ","BC                  ",,0,847,"6. NEW PROSPECT     ","ZOWSLEY             "
"DQT001    ","Delta Q Technologies",,"(604)327-8244                 ","3755 Willingdon Ave.",Burnaby,"BC                                                ","V5G 3H3        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","BC                  ",,18511.7,52154.6,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"EM4013683 ","Dept of National Defence                          ",,"(250)363-5843                 ","CFB Esquimalt                                     ","Victoria                      ","BC                                                ","V9A 7N2        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","BC                  ","PO Box 17000 Stn Forces                           ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
"JSI100472 ","Dimos Tool & Die / Labtronics",,"(204)772-6998                 ","12 Bangor Avenue",Winnipeg,"MB                                                ","R3E 3G4        ","CUSTOMER            ","TOP 50 - ZOWSLEY    ","Canada              ","PRAIRIES            ",,0,15382.5,"TOP 50 - ZOWSLEY    ","ZOWSLEY             "
"CFL004    ","DNOW Canada ULC",,"(780)791-7000                 ","380 Mackenzie Blvd.","Fort McMurray","AB                                                ","T9H 4C4        ","CUSTOMER            ","                    ","Canada              ","ALBERTA             ","Bldg 1C",0,1848,"                    ","ZOWSLEY             "
"TPX100345 ","DNOW Canada ULC",,"(403)531-5600                 ","PO Box 4395 Station C","Calgary                       ","AB                                                ","T2T 5N2        ","CUSTOMER            ","3. GOOD PROSPECT    ","Canada              ","ALBERTA             ","                                                  ",0,0,"3. GOOD PROSPECT    ","ZOWSLEY             "
